BvBmsy,FvFmsy,i_rights
1.55,0.333,ITQ
1.6,0.466,ITQ
1.62,0.444,ITQ
1.64,0.391,ITQ
1.64,0.391,ITQ
1.64,0.391,ITQ
1.64,0.391,ITQ
2.13,0.264,No ITQ
2.39,0.873,No ITQ
2.41,1.54,No ITQ
2.28,2.92,No ITQ
2.11,4.97,No ITQ
1.49,3.3,No ITQ
1.26,2.33,No ITQ
1.19,2.29,No ITQ
1.11,1.89,No ITQ
1.04,1.24,No ITQ
1.08,2.24,No ITQ
0.961,2.47,No ITQ
0.818,2.07,No ITQ
0.724,2.22,No ITQ
0.625,2.77,No ITQ
0.493,3.39,No ITQ
0.353,2.52,No ITQ
0.296,1.06,No ITQ
0.293,1.15,No ITQ
0.284,1.64,No ITQ
0.258,1.81,No ITQ
0.23,0.997,No ITQ
0.23,0.494,No ITQ
0.25,0.424,No ITQ
0.274,0.105,No ITQ
0.311,0.253,No ITQ
0.348,0.475,No ITQ
0.379,0.87,No ITQ
0.39,1.21,No ITQ
0.386,1.35,No ITQ
0.38,0.649,No ITQ
0.406,0.52,No ITQ
0.486,0.139,No ITQ
0.588,0.097,No ITQ
0.709,0.25,No ITQ
0.83,0.406,No ITQ
0.944,0.416,No ITQ
1.04,0.374,No ITQ
1.11,0.44,No ITQ
1.15,0.447,No ITQ
1.17,0.51,No ITQ
1.19,0.595,No ITQ
1.2,0.579,No ITQ
1.21,0.629,No ITQ
1.23,0.614,No ITQ
1.28,0.722,No ITQ
1.31,0.668,No ITQ
1.34,0.616,No ITQ
1.38,0.614,No ITQ
1.35,0.531,No ITQ
1.35,0.531,No ITQ
1.35,0.531,No ITQ
1.83,0.213,No ITQ
1.85,0.134,No ITQ
1.85,0.083,No ITQ
1.88,0.036,No ITQ
1.94,0.021,No ITQ
2.03,0.235,No ITQ
2.12,0.247,No ITQ
2.21,0.127,No ITQ
2.31,0.262,No ITQ
2.37,0.99,No ITQ
2.31,0.669,No ITQ
2.26,0.618,No ITQ
2.19,0.72,No ITQ
2.09,0.76,No ITQ
1.96,1.06,No ITQ
1.83,0.641,No ITQ
1.78,0.534,No ITQ
1.8,0.617,No ITQ
1.9,0.754,No ITQ
2.02,0.656,No ITQ
2.19,0.69,No ITQ
2.35,0.893,No ITQ
2.47,0.4,No ITQ
2.5,0.558,No ITQ
2.5,0.772,No ITQ
2.5,0.606,No ITQ
2.5,0.519,No ITQ
2.5,0.877,No ITQ
2.5,0.655,No ITQ
2.5,0.577,No ITQ
2.5,0.577,No ITQ
1.9,0.813,No ITQ
1.82,0.331,No ITQ
1.78,0.385,No ITQ
1.74,0.838,No ITQ
1.67,0.46,No ITQ
1.63,0.371,No ITQ
1.61,0.413,No ITQ
1.59,0.498,No ITQ
1.57,0.084,No ITQ
1.57,0.28,No ITQ
1.57,0.335,No ITQ
1.56,1.04,No ITQ
1.51,1.48,No ITQ
1.43,1.67,No ITQ
1.34,0.266,No ITQ
1.36,0.778,No ITQ
1.35,0.417,No ITQ
