SciName,Country,i_right,turf,SpeciesCat
Genypterus blacodes,New Zealand,TRUE,FALSE,34
Genypterus blacodes,Australia,TRUE,FALSE,34
Gerres filamentosus,Vietnam,FALSE,TRUE,33
Gigartina skottsbergii,Chile,FALSE,TRUE,92
Glossogobius giuris,Vietnam,FALSE,TRUE,13
Gracilaria chilensis,Chile,FALSE,TRUE,92
Haliotis corrugata,Mexico,FALSE,TRUE,52
Haliotis discus,Japan,FALSE,TRUE,52
Haliotis fulgens,Mexico,FALSE,TRUE,52
Haliotis ruber,Japan,FALSE,TRUE,52
Haliotis rufescens,Chile,FALSE,TRUE,52
Haliotis spp,Japan,FALSE,TRUE,52
Hippoglossoides elassodon,United States,TRUE,FALSE,31
Holothurian,Fiji,FALSE,TRUE,58
Homalaspis plana,Chile,FALSE,TRUE,42
Hoplostethus atlanticus,Australia,TRUE,FALSE,34
Hyperoglyphe antarctica,New Zealand,TRUE,FALSE,34
Japanese oysters,Netherlands,FALSE,TRUE,53
Jasus edwardsii,New Zealand,TRUE,FALSE,43
Jasus edwardsii,Australia,TRUE,FALSE,43
Kathetostoma giganteum,New Zealand,TRUE,FALSE,34
Lambis lambis,Fiji,FALSE,TRUE,52
Latidae,Philippines,FALSE,TRUE,13
Lenthrinus harak,Fiji,FALSE,TRUE,33
Lepidopsetta polyxystra,United States,TRUE,FALSE,31
Lethrinus atsinkoni,Fiji,FALSE,TRUE,33
Limanda aspera,United States,TRUE,FALSE,31
Lithodes antarctica,Chile,FALSE,TRUE,42
Liza aurata,Greece,FALSE,TRUE,33
Liza ramada,Greece,FALSE,TRUE,33
Liza saliens,Greece,FALSE,TRUE,33
Lopholatilus chamaeleonticeps,United States,TRUE,FALSE,34
Loxechinus albus,Chile,FALSE,TRUE,76
Lutjanid spp,Philippines,FALSE,TRUE,33
Mackerel,Netherlands,FALSE,TRUE,37
Macrocystis integrifolia,Chile,FALSE,TRUE,91
Macruronus magellanicus,Argentina,TRUE,FALSE,32
Macruronus novaezelandiae,Australia,TRUE,FALSE,32
Maja squinado,Spain,FALSE,TRUE,42
Meretrix lyrata,Vietnam,FALSE,TRUE,56
Meretrix lusoria,Japan,FALSE,TRUE,56
Merluccius hubbsi,Argentina,TRUE,FALSE,32
Merluccius merluccius,France,FALSE,TRUE,32
Mesodesma donacium,Chile,FALSE,TRUE,56
Metacarcinus magister,United States,FALSE,TRUE,42
Metapenaeus dobsoni,Sri Lanka,FALSE,TRUE,45
Metapenaeus dobsoni,India,FALSE,TRUE,45
Metapenaeus endeavours,Australia,FALSE,TRUE,45
Metapenaeus ensis,Vietnam,FALSE,TRUE,45
Metapenaeus monoceros,India,FALSE,TRUE,45
Metapenaeus moyebi,Sri Lanka,FALSE,TRUE,45
Micromesistius australis,Argentina,TRUE,FALSE,32
Microstomus pacificus,United States,TRUE,FALSE,31
Mugil cephalus,Greece,FALSE,TRUE,33
Mugilidae spp.,France,FALSE,TRUE,33
Mulinia edulis,Chile,FALSE,TRUE,56
Mulinia spp,Chile,FALSE,TRUE,56
Mullet spp,Netherlands,FALSE,TRUE,33
Mullus barbatus,France,FALSE,TRUE,33
Mullus surmuletus,France,FALSE,TRUE,33
Mycteroperca bonaci,United States,TRUE,FALSE,33
Mycteroperca microlepis,United States,TRUE,FALSE,33
Mycteroperca rosacea,Mexico,FALSE,TRUE,33
Mytilus chilensis,Chile,FALSE,TRUE,54
Mytilus edulis,United Kingdom,FALSE,TRUE,54
Necora puber,Spain,FALSE,TRUE,42
Nemadactylus macropterus,New Zealand,TRUE,FALSE,34
Nemadactylus macropterus,Australia,TRUE,FALSE,34
Neoplatycephalus richardsoni,Australia,TRUE,FALSE,33
Normanichthys crockeri,Chile,FALSE,TRUE,33
Octopus mimus,Chile,FALSE,TRUE,57
Octopus spp,Vanuatu,FALSE,TRUE,57
Octopus vulgaris,Spain,FALSE,TRUE,57
Odontocymbiola magallanica,Chile,FALSE,TRUE,58
Oncorhynchus gorbuscha,United States,FALSE,TRUE,23
Oncorhynchus keta,United States,FALSE,TRUE,23
Oncorhynchus kisutch,United States,FALSE,TRUE,23
Oncorhynchus mykiss,United States,FALSE,TRUE,23
Oncorhynchus nerka,United States,FALSE,TRUE,23
Oncorhynchus tshawytscha,United States,FALSE,TRUE,23
Ophiodon elongatus,United States,TRUE,FALSE,33
Opisthonema oglinum,Chile,FALSE,TRUE,35
Ostrea edulis,United Kingdom,FALSE,TRUE,53
Oyster spp,United States,FALSE,TRUE,53
Oyster spp,United Kingdom,FALSE,TRUE,53
Penaeus indicus,India,FALSE,TRUE,45
Pagellus spp,France,FALSE,TRUE,33
Pagrus pagrus,France,FALSE,TRUE,33
Palaemon serratus,Spain,FALSE,TRUE,45
Palinurus elephas,France,FALSE,TRUE,43
Pandalus borealis,Sweden,FALSE,TRUE,45
Panopea generosa,United States,FALSE,TRUE,56
Panopea globosa,Mexico,FALSE,TRUE,58
Panulirus argus,Belize,FALSE,TRUE,43
Panulirus argus,Mexico,FALSE,TRUE,43
Panulirus interruptus,Mexico,FALSE,TRUE,43
