SciName,Country,i_right,turf,SpeciesCat
Penaeus merguiensis,Australia,0,1,45
Penaeus monodon,Vietnam,0,1,45
Penaeus monodon,India,0,1,45
Penaeus semisulcatus,Vietnam,0,1,45
Penaeus semisulcatus,Sri Lanka,0,1,45
Penaeus indicus,Fiji,0,1,45
Perna perna,Chile,0,1,54
Pinna rugosa,Mexico,0,1,55
Platichthys stellatus,United States,1,0,31
Platycephalus conatus,Australia,1,0,33
Pleurogrammus monopterygius,United States,1,0,33
Pollicipes pollicipes,Spain,0,1,47
Pomacentridae,Philippines,0,1,33
Portunus pelagicus,Vietnam,0,1,42
Portunus sanguinolentus,Vietnam,0,1,42
Protothaca thaca,Chile,0,1,56
Pseudocarcinus gigas,Australia,1,0,42
Pseudocardium sachalinense,Japan,0,1,56
Pseudocyttus maculatus,New Zealand,1,0,34
Pyura chilensis,Chile,0,1,74
Razor clams,Netherlands,0,1,56
Reef fish,Vanuatu,0,1,33
Reinhardtius stomias,United States,1,0,31
Rexea solandri,Australia,1,0,34
Rexea solandri,New Zealand,1,0,34
Sandeel,Japan,0,1,33
Sarcothalia crispata,Chile,0,1,92
Sardinops melanostictus,Japan,0,1,35
Sarpa salpa,France,0,1,33
Scallop spp,United Kingdom,0,1,55
Scomber japonicus,Japan,0,1,37
Scomber japonicus,Chile,0,1,37
Scorpaena notata,France,0,1,34
Scorpaena porcus,France,0,1,34
Scorpaena scrofa,France,0,1,34
Scorpaena spp,France,0,1,34
Scylla serrata,Vietnam,0,1,42
Sea bass spp,Netherlands,0,1,33
Sea cucumber,Vanuatu,0,1,77
Sea cucumbers,Japan,0,1,77
Sea squirt,Chile,0,1,74
Sebastes alutus,United States,1,0,34
Sebastes chlorostictus,United States,1,0,34
Sebastes crameri,United States,1,0,34
Sebastes diploproa,United States,1,0,34
Sebastes elongatus,United States,1,0,34
Sebastes entomelas,United States,1,0,34
Sebastes flavidus,United States,1,0,34
Sebastes goodei,United States,1,0,34
Sebastes jordani,United States,1,0,34
Sebastes levis,United States,1,0,34
Sebastes melanostomus,United States,1,0,34
Sebastes paucispinis,United States,1,0,34
Sebastes pinniger,United States,1,0,34
Sebastes pinniger,Canada,1,0,34
Sebastes ruberrimus,United States,1,0,34
Sebastes rufus,United States,1,0,34
Sebastolobus alascanus,United States,1,0,34
Sebastolobus altivelis,United States,1,0,34
Semele solida,Chile,0,1,56
Sepia bertheloti,Chile,0,1,57
Sepia officinalis,France,0,1,57
Sergia lucens,Japan,0,1,45
Seriola quinqueradiata,Japan,0,1,37
Seriolella brama,Australia,1,0,34
Seriolella punctata,Australia,1,0,34
Serranid spp,Philippines,0,1,33
Serranus cabrilla,France,0,1,33
Serranus scriba,France,0,1,33
Serranus spp.,France,0,1,33
Shellfish spp,Vanuatu,0,1,58
Siganus spp,Vietnam,0,1,33
Sillago flindersi,Australia,1,0,33
Smelt spp,Netherlands,0,1,33
Solea aegyptiaca,France,0,1,31
Solea solea,France,0,1,31
Sparus aurata,Greece,0,1,33
Sparus aurata,France,0,1,33
Spisula solidissima,United States,1,0,56
Spondyliosoma cantharus,France,0,1,33
Spondylus calcifer,Mexico,0,1,53
Sprat spp,Netherlands,0,1,33
Sprattus fuegensis,Chile,0,1,35
Symphodus spp,France,0,1,33
Tagelus dombeii,Chile,0,1,56
Tapes decussatus,Italy,0,1,56
Tegula atra,Chile,0,1,58
Thais chocolata,Chile,0,1,52
Theragra chalcogramma,Japan,0,1,32
Terapon theraps,Vietnam,0,1,33
Todarodes pacificus,Japan,0,1,57
Trachinus spp.,France,0,1,33
Trachurus capensis,South Africa,1,0,37
Trachurus japonicus,Japan,0,1,37
Trachypenaeus sp,Australia,0,1,45
Tripneustes gratilla,Fiji,0,1,76
Trochus spp,Vanuatu,0,1,58
Trophon spp,Chile,0,1,58
Uranoscopus scaber,France,0,1,34
Venerupis aurea,Italy,0,1,56
Venus antiqua,Chile,0,1,56
Venus verrucosa,Italy,0,1,56
Xanthochorus cassidiformis,Chile,0,1,58
