"","Country","assess_id_short","Year","CommName","Biomass","Catch","BvBmsy","FvFmsy","Dbase","SciName","IdLevel","SpeciesCat.x","Profits","MSY","Price","g","k","c","phi","itq","ivq","iq","turf"
"4351","Multinational","SPRFMO-CHTRACCH",2012,"Chilean jack mackerel Chilean EEZ and offshore",2940000,455000,0.0659,1.88,"RAM","Trachurus murphyi","Species",37,-597636600.4,1281278.689,462.603,0.055,58413301.36,4222574964,0.188,NA,NA,NA,NA
"4352","USA","SWFSC-CMACKPCOAST",2012,"Pacific chub mackerel Pacific Coast",69200,13000,NA,NA,"RAM","Scomber japonicus","Species",37,15201453.48,23048.2,1239.826,0.11,522330.371,106562619.4,0.188,NA,NA,NA,NA
"4353","Japan","FAJ-CMACKPJPN",2012,"Chub mackerel Pacific Coast of Japan",1030000,125000,0.585,0.709,"RAM","Scomber japonicus","Species",37,-32558640.04,424975,1624.173,0.104,10190984.32,2133050354,0.188,"FALSE","FALSE","FALSE","TRUE"
"4354","Japan","FAJ-CMACKTSST",2012,"Chub mackerel Tsushima Strait",528000,234000,0.477,1.22,"RAM","Scomber japonicus","Species",37,232583057.5,347502.161,1624.173,0.291,2990055.893,460177091.6,0.188,NA,NA,NA,NA
"4355","Multinational","FAO-SPNWA",2010,"Chub Mackerel West Africa",262000,206000,NA,1.18,"RAM","Scomber japonicus","Species",37,186586656,210784.16,1239.826,0.67,787017.858,93475048.68,0.188,NA,NA,NA,NA
"4356","Canada","DFO-NFLD",2012,"Atlantic cod NAFO 2J3KL",185000,3310,NA,NA,"RAM","Gadus morhua","Species",32,4132383.922,23602.7,2752.183,0.1,590094.378,341679550.3,0.188,NA,NA,NA,NA
"4357","Multinational","NAFO-SC",2012,"Atlantic cod NAFO 3M",NA,NA,NA,NA,"RAM","Gadus morhua","Species",32,9847786.877,24643.007,2100.903,0.221,278835.85,126180613.5,0.188,NA,NA,NA,NA
"4358","Multinational","NAFO-SC",2011,"Atlantic cod NAFO 3NO",7570,819,0.135,0.209,"RAM","Gadus morhua","Species",32,-156346.919,23566.913,2100.903,0.587,100426.283,33904578.32,0.188,NA,NA,NA,NA
"4359","Canada","DFO-QUE",2012,"Atlantic cod NAFO 3Pn4RS",26400,1300,0.0371,0.589,"RAM","Gadus morhua","Species",32,-23956580.48,46842.812,2752.183,0.106,1108785.432,631565573.5,0.188,NA,NA,NA,NA
"4360","Canada","DFO-NFLD",2012,"Atlantic cod NAFO 3Ps",44700,5090,1.6,NA,"RAM","Gadus morhua","Species",32,9638939.707,37840.874,2752.183,0.961,98400.903,28894822.56,0.188,NA,NA,NA,NA
"4361","Canada","DFO-SG",2012,"Atlantic cod NAFO 4TVn",84400,172,0.0112,0.0879,"RAM","Gadus morhua","Species",32,-53488.407,40721.762,2752.183,0.108,940697.858,531920593.4,0.188,NA,NA,NA,NA
"4362","Multinational","WGBFAS-CODBA2224",2012,"Atlantic cod Baltic Areas 22 and 24",19400,9000,0.407,3.66,"RAM","Gadus morhua","Species",32,12104857.46,23000,2752.183,0.221,259958.512,118622337,0.188,NA,NA,NA,NA
"4363","Multinational","WGBFAS-CODBA2532",2012,"Atlantic cod Baltic Areas 25-32",233000,67000,1.74,1.24,"RAM","Gadus morhua","Species",32,72109434.96,112187.809,2752.183,0.14,2008607.832,1052178855,0.188,NA,NA,NA,NA
"4364","Multinational","NWWG-CODFAPL",2012,"Atlantic cod Faroe Plateau",22800,7200,0.446,1.67,"RAM","Gadus morhua","Species",32,13329125.08,12985.826,2752.183,0.18,180714.45,87772696.4,0.188,NA,NA,NA,NA
"4365","USA","NEFSC-CODGB",2011,"Atlantic cod Georges Bank",78100,4530,0.119,1.28,"RAM","Gadus morhua","Species",32,-12672682.89,28774,2100.903,0.096,753106.177,337482515.6,0.188,NA,NA,NA,NA
"4366","USA","NEFSC-CODGOM",2012,"Atlantic cod Gulf of Maine",9740,3470,0.061,8.18,"RAM","Gadus morhua","Species",32,-47155936.26,11592.5,2752.183,0.131,221016.385,117979962.7,0.188,NA,NA,NA,NA
"4367","Multinational","NWWG-CODICE",2012,"Atlantic cod Iceland",1260000,196000,1.86,1.4,"RAM","Gadus morhua","Species",32,260917630.2,347824.447,2752.183,0.208,4179919.942,1942763317,0.188,NA,NA,NA,NA
"4368","Multinational","WGBFAS-CODIS",2012,"Atlantic cod Irish Sea",4790,856,0.331,3.03,"RAM","Gadus morhua","Species",32,-670885.447,1315.276,2752.183,0.14,23570.013,12350152.3,0.188,NA,NA,NA,NA
"4369","Multinational","WGBFAS-CODKAT",2012,"Atlantic cod Kattegat",6370,236,0.0976,NA,"RAM","Gadus morhua","Species",32,-184112.516,3355.4,2752.183,0.176,47714.869,23325778.1,0.188,NA,NA,NA,NA
"4370","Multinational","AFWG-CODNEAR",2012,"Atlantic cod Northeast Arctic",3650000,728000,4.15,0.625,"RAM","Gadus morhua","Species",32,1627938521,722200.739,2752.183,0.268,6742885.432,2905438646,0.188,NA,NA,NA,NA
"4371","Multinational","WGCSE-CODVIa",2012,"Atlantic cod West of Scotland",3780,1630,0.131,5.33,"RAM","Gadus morhua","Species",32,-430501.078,3042.567,2752.183,0.086,88601.391,53704445.14,0.188,NA,NA,NA,NA
"4372","Multinational","WGBFAS-CODVIIek",2012,"Atlantic Cod Celtic Sea",17400,8640,1.33,1.95,"RAM","Gadus morhua","Species",32,5778544.13,10300,2752.183,0.33,78109.611,31620899.66,0.188,NA,NA,NA,NA
"4373","USA","PFMC-COWCODSCAL",2012,"Cowcod Southern California",1020,0.8,0.809,0.0182,"RAM","Sebastes levis","Species",34,646.26,69,957.527,0.055,3145.157,953473.094,0.188,"TRUE","FALSE","FALSE","FALSE"
"4374","USA","NWFSC-CROCKPCOAST",2012,"Canary rockfish Pacific Coast",33500,34.2,1.31,0.0449,"RAM","Sebastes pinniger","Species",34,52681.693,803,957.527,0.029,69384.83,25483397,0.188,"TRUE","FALSE","FALSE","FALSE"
"4375","Canada","DFO-CROCKWCVANISOGQCI",2009,"Canary rockfish West Coast of Vancouver Island and Straight of Georgia and Queen Charlotte Islands",8890,800,1.37,0.738,"RAM","Sebastes pinniger","Species",34,468501.808,713.792,730.937,0.116,15379.111,2842469.743,0.188,"FALSE","TRUE","FALSE","FALSE"
"4376","South Africa","MARAM-CTRACSA",2012,"Cape horse mackerel South Africa South coast",717000,29700,3.03,0.171,"RAM","Trachurus capensis","Species",37,13184012.76,72924.09,462.603,0.237,769170.385,35840427.94,0.188,"FALSE","FALSE","TRUE","FALSE"
"4377","South Africa","MARAM-DEEPCHAKESA",2012,"Deep-water cape hake South Africa",570000,108000,1.1,0.78,"RAM","Merluccius paradoxus","Species",32,110105420,116000,1410.198,0.299,968916.263,206893550.3,0.188,NA,NA,NA,NA
