SpeciesCat,SciName
11,Hypselobarbus jerdoni
11,Hypsibarbus lagleri
11,Hypsibarbus pierrei
11,Hypsibarbus wetmorei
11,Hypsibarbus spp
11,Iberocypris palaciosi
11,Inlecypris auropurpureus
11,Iranocypris typhlops
11,Kalimantania lawak
11,Ladigesocypris ghigii
11,Ladislavia taczanowskii
11,Lagowskiella czekanowskii
11,Lepidopygopsis typus
11,Leptocypris guineensis
11,Leptocypris niloticus
11,Leucalburnus kosswigi
11,Leucaspius delineatus
11,Lobocheilos bo
11,Longiculter siahi
11,Luciosoma bleekeri
11,Lythrurus roseipinnis
11,Lythrurus snelsoni
11,Macrhybopsis aestivalis
11,Macrochirichthys macrochirus
11,Margariscus margarita
11,Meda fulgida
11,Mekongina erythrospila
11,Mesobola brevianalis
11,Microphysogobio koreensis
11,Microrasbora erythromicron
11,Moapa coriacea
11,Mylopharodon conocephalus
11,Mystacoleucus argenteus
11,Mystacoleucus padangensis
11,Mystacoleucus marginatus
11,Mystacoleucus atridorsalis
11,Nematabramis alestes
11,Neobola moeruensis
11,Neolissochilus blanci
11,Neolissochilus hexagonolepis
11,Ochetobius elongatus
11,Onychostoma alticorpus
11,Opsaridium microlepis
11,Opsopoeodus emiliae
11,Oreichthys cosuatis
11,Oreoleuciscus handlirschi
11,Ospatulus palaemophagus
11,Osteobrama belangeri
11,Osteobrama cotio
11,Oxygaster anomalura
11,Oxygaster pointoni
11,Pachychilon macedonicum
11,Parachela cyanea
11,Parachela oxygastroides
11,Parachela siamensis
11,Paracrossochilus acerus
11,Paralaubuca barroni
11,Parapsilorhynchus tentaculatus
11,Pararasbora moltrechti
11,Parazacco vuquangensis
11,Parluciosoma labiosa
11,Pectenocypris balaena
11,Phoxinellus adspersus
11,Phoxinus cumberlandensis
11,Phoxinus eos
11,Phoxinus erythrogaster
11,Phoxinus neogaeus
11,Phoxinus phoxinus
11,Phreatichthys andruzzii
11,Plagiognathops microlepis
11,Platygobio gracilis
11,Platypharodon extremus
11,Poropuntius deauratus
11,Procypris merus
11,Procypris rabaudi
11,Prolabeo batesi
11,Prolabeops melanhypoptera
11,Pseudobarbus asper
11,Pseudolaubuca jouyi
11,Pseudoperilampus hondae
11,Pseudophoxinus stymphalicus
11,Pseudopungtungia nigra
11,Ptychidio jordani
11,Pungtungia herzi
11,Puntioplites bulu
11,Puntioplites waandersi
11,Puntioplites proctozystron
11,Rasborichthys helfrichii
11,Rasborinus lineatus
11,Rectoris posehensis
11,Relictus solitarius
11,Richardsonius balteatus
11,Rohteichthys microlepis
11,Romanogobio tenuicorpus
11,Salmostoma bacaila
11,Sanagia velifera
11,Saurogobio dabryi
11,Sawbwa resplendens
11,Scaphognathops bandanensis
11,Schismatorhynchos heterorhynchos
11,Schizocypris brucei
11,Schizothorax curvifrons
11,Schizothorax esocinus
11,Schizothorax richardsonii
11,Schizothorax yunnanensis
11,Schizothorax cryptolepis
11,Schizothorax davidi
11,Schizothorax prenanti
11,Schizothorax molesworthi
11,Schizothorax progastus
11,Schizothorax plagiostomus
11,Schizothorax spp
11,Securicula gora
11,Semilabeo notabilis
11,Sikukia gudgeri
11,Sinibrama macrops
11,Sinilabeo decorus
11,Sinocyclocheilus anatirostris
11,Sinocyclocheilus grahami
11,Spinibarbus denticulatus
11,Spinibarbus sinensis
11,Spratellicypris palata
11,Squalidus biwae
11,Stypodon signifer
11,Systomus brevis
11,Systomus partipentazona
11,Systomus sarana
11,Thryssocypris ornithostoma
11,Tropidophoxinellus hellenicus
11,Typhlobarbus nudiventris
11,Xenobarbus loveridgei
11,Xenocypris argentea
11,Xenocypris davidi
11,Blicca bjoerkna
11,Barbonymus gonionotus
11,Barbonymus altus
11,Barbonymus schwanenfeldii
11,Luciobarbus bocagei
11,Luciobarbus comizo
11,Luciobarbus graellsii
11,Luciobarbus sclateri
11,Luciobarbus capito
11,Gymnodiptychus dybowskii
11,Gymnodiptychus pachycheilus
11,Aspiorhynchus laticeps
11,Coreius guichenoti
11,Percocypris pingi
11,Ancherythroculter nigrocauda
11,Varicorhinus beso
11,Cyprinidae
11,Gyrinocheilus aymonieri
11,Acanthopsoides delphax
11,Acantopsis choirorhynchos
11,Botia dario
11,Botia spp
11,Cobitis aurata
11,Cobitis biwae
11,Cobitis taenia
11,Cobitis granoei
11,Cobitis maroccana
11,Lepidocephalichthys guntea
11,Lepidocephalichthys thermalis
11,Somileptes gongota
11,Sabanejewia balcanica
11,Paramisgurnus dabryanus
11,Pangio agma
11,Niwaella delicata
11,Leptobotia curta
11,Neoeucirrhichthys maydelli
11,Lepidocephalus annandalei
11,Misgurnus anguillicaudatus
11,Misgurnus fossilis
11,Misgurnus mizolepis
11,Iksookimia choii
11,Enobarbichthys maculatus
11,Chromobotia macracanthus
11,Yasuhikotakia modesta
11,Syncrossus hymenophysa
11,Psilorhynchus sucatio
11,Aborichthys elongatus
11,Acanthocobitis botia
11,Annamia normani
11,Balitora annamitica
