"","Country","current_gdp","SciName","i_right","turf","SpeciesCat"
"149","Italy",39426.9408,"Callista chione",0,1,56
"150","Italy",39426.9408,"Chamelea gallina",0,1,56
"151","Italy",39426.9408,"Donax trunculus",0,1,56
"152","Italy",39426.9408,"Ensis minor",0,1,57
"153","Italy",39426.9408,"Tapes decussatus",0,1,56
"154","Italy",39426.9408,"Venerupis aurea",0,1,56
"155","Italy",39426.9408,"Venus verrucosa",0,1,56
"156","Japan",43278.98933,"Ammodytes personatus",0,1,33
"157","Japan",43278.98933,"Arctoscopus japonicus",0,1,34
"158","Japan",43278.98933,"Chionoecetes japonicus",0,1,42
"159","Japan",43278.98933,"Clam spp",0,1,56
"160","Japan",43278.98933,"Cololabis saira",0,1,37
"161","Japan",43278.98933,"Haliotis discus",0,1,52
"162","Japan",43278.98933,"Haliotis ruber",0,1,52
"163","Japan",43278.98933,"Haliotis spp",0,1,52
"164","Japan",43278.98933,"Meretrix lusoria",0,1,56
"165","Japan",43278.98933,"Pseudocardium sachalinense",0,1,56
"166","Japan",43278.98933,"Sandeel",0,1,33
"167","Japan",43278.98933,"Sardinops melanostictus",0,1,35
"168","Japan",43278.98933,"Scomber japonicus",0,1,37
"169","Japan",43278.98933,"Sea cucumbers",0,1,77
"170","Japan",43278.98933,"Sergia lucens",0,1,45
"171","Japan",43278.98933,"Seriola quinqueradiata",0,1,37
"172","Japan",43278.98933,"Theragra chalcogramma",0,1,32
"173","Japan",43278.98933,"Todarodes pacificus",0,1,57
"174","Japan",43278.98933,"Trachurus japonicus",0,1,37
"175","Sri Lanka",12810.95091,"Metapenaeus dobsoni",0,1,45
"176","Sri Lanka",12810.95091,"Metapenaeus moyebi",0,1,45
"177","Sri Lanka",12810.95091,"Penaeus indicus",0,1,45
"178","Sri Lanka",12810.95091,"Penaeus semisulcatus",0,1,45
"179","Mexico",18258.09621,"Astraea turbanica",0,1,58
"180","Mexico",18258.09621,"Astraea undosa",0,1,58
"181","Mexico",18258.09621,"Atrina tuberculosa",0,1,55
"182","Mexico",18258.09621,"Balistes polylepis",0,1,33
"183","Mexico",18258.09621,"Callinectes bellicosus",0,1,42
"184","Mexico",18258.09621,"Haliotis corrugata",0,1,52
"185","Mexico",18258.09621,"Haliotis fulgens",0,1,52
"186","Mexico",18258.09621,"Mycteroperca rosacea",0,1,33
"187","Mexico",18258.09621,"Panopea globosa",0,1,58
"188","Mexico",18258.09621,"Panulirus argus",0,1,43
"189","Mexico",18258.09621,"Panulirus interruptus",0,1,43
"190","Mexico",18258.09621,"Paralabrax maculatofasciatus_",0,1,33
"191","Mexico",18258.09621,"Pinna rugosa",0,1,55
"192","Mexico",18258.09621,"Spondylus calcifer",0,1,53
"193","Netherlands",52503.26827,"Anchovies spp",0,1,35
"194","Netherlands",52503.26827,"Clam spp",0,1,56
"195","Netherlands",52503.26827,"Japanese oysters",0,1,53
