Country,current_gdp,SciName,i_right,turf,SpeciesCat
Japan,43278.98933,Todarodes pacificus,0,1,57
Japan,43278.98933,Trachurus japonicus,0,1,37
Sri Lanka,12810.95091,Metapenaeus dobsoni,0,1,45
Sri Lanka,12810.95091,Metapenaeus moyebi,0,1,45
Sri Lanka,12810.95091,Penaeus indicus,0,1,45
Sri Lanka,12810.95091,Penaeus semisulcatus,0,1,45
Mexico,18258.09621,Astraea turbanica,0,1,58
Mexico,18258.09621,Astraea undosa,0,1,58
Mexico,18258.09621,Atrina tuberculosa,0,1,55
Mexico,18258.09621,Balistes polylepis,0,1,33
Mexico,18258.09621,Callinectes bellicosus,0,1,42
Mexico,18258.09621,Haliotis corrugata,0,1,52
Mexico,18258.09621,Haliotis fulgens,0,1,52
Mexico,18258.09621,Mycteroperca rosacea,0,1,33
Mexico,18258.09621,Panopea globosa,0,1,58
Mexico,18258.09621,Panulirus argus,0,1,43
Mexico,18258.09621,Panulirus interruptus,0,1,43
Mexico,18258.09621,Paralabrax maculatofasciatus_,0,1,33
Mexico,18258.09621,Pinna rugosa,0,1,55
Mexico,18258.09621,Spondylus calcifer,0,1,53
Netherlands,52503.26827,Anchovies spp,0,1,35
Netherlands,52503.26827,Clam spp,0,1,56
Netherlands,52503.26827,Japanese oysters,0,1,53
Netherlands,52503.26827,Mackerel,0,1,37
Netherlands,52503.26827,Mullet spp,0,1,33
Netherlands,52503.26827,Razor clams,0,1,56
Netherlands,52503.26827,Sea bass spp,0,1,33
Netherlands,52503.26827,Smelt spp,0,1,33
Netherlands,52503.26827,Sprat spp,0,1,33
New Zealand,41109.00768,Allocyttus niger,1,0,34
New Zealand,41109.00768,Chrysophrys auratus,1,0,33
New Zealand,41109.00768,Epigonus telescopus,1,0,34
New Zealand,41109.00768,Genypterus blacodes,1,0,34
New Zealand,41109.00768,Hyperoglyphe antarctica,1,0,34
New Zealand,41109.00768,Jasus edwardsii,1,0,43
New Zealand,41109.00768,Kathetostoma giganteum,1,0,34
New Zealand,41109.00768,Nemadactylus macropterus,1,0,34
New Zealand,41109.00768,Pseudocyttus maculatus,1,0,34
New Zealand,41109.00768,Rexea solandri,1,0,34
Peru,13434.1256,Engraulis ringens,1,0,35
Philippines,8342.804479,Anodontostoma chacunda,0,1,24
Philippines,8342.804479,Atherinidae,0,1,37
Philippines,8342.804479,Centropomidae,0,1,33
Philippines,8342.804479,Latidae,0,1,13
Philippines,8342.804479,Lutjanid spp,0,1,33
Philippines,8342.804479,Pomacentridae,0,1,33
Philippines,8342.804479,Serranid spp,0,1,33
Sweden,50208.16476,Pandalus borealis,0,1,45
United States,59531.66196,Anoplopoma fimbria,1,0,34
United States,59531.66196,Callinectes sapidus,0,1,42
United States,59531.66196,Chionoecetes bairdi,1,0,42
United States,59531.66196,Chionoecetes opilio,1,0,42
United States,59531.66196,Clam spp,0,1,56
United States,59531.66196,Eopsetta jordani,1,0,31
